"estado_num","estado","AÑO","MES","poblacion","EJ","tasa","EJF","EJM","FPE","MEN","TOR","DTRA","PRE","FCRU","ELE","CORR","TAX","DRO","VEH","VAL","v_automovil","v_camion","v_camioneta","v_jeep","v_moto","v_patrulla","v_tanque","d_cocaina","d_otras_drogas","d_marihuana","e_15_o_menos","e_15_a_20","e_20_a_30","e_30_a_50","e_50_o_mas","WEAPON","m_arma_de_fuego","m_decapitado","m_mutiliado","m_encobijado","m_asfixiado","m_calcinado","m_foza","m_golpes","m_tortura","m_vehiculo","m_otra","mens_gobierno","mens_narco","mens_otro","cartel_juarez","cartel_beltranleyva","cartel_sinaloa","cartel_familia_michoacana","cartel_zetas","cartel_otro"
"2","Baja California",2009,10,6197974,23,3.71089004245581,3,17,18,1,2,5482,0,0,0,0,1,1,6,8,1,0,2,0,0,0,1,1,0,0,0,1,3,7,0,19,13,1,1,0,1,1,0,0,1,0,2,0,0,1,0,0,1,0,1,0
"2","Baja California",2009,11,6197974,21,3.38820395180748,2,14,16,0,0,5430,0,0,0,0,1,0,6,11,0,0,3,0,0,0,0,0,0,0,0,0,6,4,0,17,14,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Baja California",2009,12,6197974,82,13.2301297165816,5,51,57,9,0,20307,0,0,1,0,2,1,16,43,3,0,7,1,0,0,0,0,0,0,1,3,19,20,3,58,44,10,0,1,0,3,0,0,0,0,0,1,6,2,0,0,0,0,0,2
"2","Baja California",2010,1,6322359,85,13.4443488577602,3,56,58,9,0,627,0,0,0,0,1,3,19,30,2,0,9,1,0,0,0,0,0,0,0,4,21,23,4,59,53,5,1,0,0,0,0,0,0,0,0,1,5,3,0,0,0,0,0,5
"2","Baja California",2010,2,6322359,40,6.32675240365186,2,29,29,0,1,1268,0,0,0,0,0,0,13,11,1,0,2,0,0,0,0,0,0,1,0,1,6,15,1,30,28,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2","Baja California",2010,3,6322359,29,4.5868954926476,1,21,22,0,1,1688,0,0,0,0,0,1,7,11,0,0,2,0,0,0,0,1,0,1,0,1,4,14,1,22,18,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Baja California",2010,4,6322359,37,5.85224597337798,5,25,28,0,0,3063,0,0,0,0,0,1,9,7,2,0,6,0,0,0,0,0,0,2,0,1,7,10,3,29,24,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Baja California",2010,5,6322359,43,6.80125883392575,5,32,31,1,0,4314,0,0,0,0,2,0,7,12,2,0,5,0,0,0,0,0,0,0,0,2,10,14,0,32,27,1,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2","Baja California",2010,6,6322359,31,4.9032331128302,3,24,24,0,1,4128,0,0,0,0,0,2,7,5,0,1,4,0,0,0,0,0,0,0,0,1,6,8,0,25,23,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2","Baja California",2010,7,6322359,51,8.06660931465613,3,32,34,0,2,6865,0,1,0,0,1,2,6,13,2,0,4,1,0,0,0,0,0,0,0,0,6,12,1,35,32,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"2","Baja California",2010,8,6322359,39,6.16858359356057,3,29,32,0,1,7187,0,0,0,0,2,1,7,7,1,0,1,0,0,0,0,0,0,0,0,2,4,3,1,32,27,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
