,entidad,nom_ent,mun,nom_mun,pobtot,pob_edo,prop_pob_mun
1763,7,Chiapas,55,Metapa,10067,9645256,0.0010437255371967317
1764,32,Zacatecas,2,Apulco,10058,2991119,0.0033626211461329357
1765,20,Oaxaca,126,San Cristóbal Amatlán,10054,7615962,0.001320122132962323
1766,20,Oaxaca,539,Soledad Etla,10050,7615962,0.001319596920257743
1767,7,Chiapas,29,Chicoasén,10049,9645256,0.00104185933478593
1768,31,Yucatán,63,Samahil,10030,3916927,0.002560680860276436
1769,21,Puebla,14,Amixtlán,10013,11567088,0.0008656457009750423
1770,8,Chihuahua,38,Julimes,9995,6847912,0.0014595689897884201
1771,31,Yucatán,15,Cuzamá,9937,3916927,0.0025369377575839426
1772,20,Oaxaca,326,San Pedro Sochiápam,9914,7615962,0.0013017396883020162
1773,20,Oaxaca,489,Santiago Tetepec,9914,7615962,0.0013017396883020162
1774,30,Veracruz de Ignacio de la Llave,88,Jalcomulco,9884,15332413,0.0006446473885095581
1775,31,Yucatán,25,Dzán,9884,3916927,0.0025234067420710164
1776,20,Oaxaca,494,Santiago Tlazoyaltepec,9788,7615962,0.00128519548810774
1777,20,Oaxaca,415,Santa María Ipalapa,9778,7615962,0.0012838824563462896
1778,30,Veracruz de Ignacio de la Llave,185,Tlilapan,9766,15332413,0.0006369512744014918
1779,20,Oaxaca,91,San Andrés Huayápam,9765,7615962,0.001282175515056404
1780,15,México,66,Otzoloapan,9764,30357152,0.00032163755018916137
1781,21,Puebla,182,Tlanepantla,9709,11567088,0.0008393642375678304
1782,31,Yucatán,37,Huhí,9692,3916927,0.0024743887236090946
1783,8,Chihuahua,53,Praxedis G. Guerrero,9684,6847912,0.0014141536865543832
1784,21,Puebla,105,Ocotepec,9657,11567088,0.000834868724090281
1785,8,Chihuahua,59,San Francisco del Oro,9642,6847912,0.0014080204301690792
1786,21,Puebla,33,Cohuecan,9534,11567088,0.0008242351056722314
1787,31,Yucatán,94,Tixmehuac,9529,3916927,0.002432774468352359
1788,28,Tamaulipas,24,Mier,9524,6556450,0.0014526153634970144
1789,20,Oaxaca,153,San Gabriel Mixtepec,9514,7615962,0.0012492184178439967
1790,28,Tamaulipas,23,Méndez,9487,6556450,0.0014469720656757848
1791,28,Tamaulipas,5,Burgos,9471,6556450,0.00144453172067201
1792,31,Yucatán,87,Tetiz,9459,3916927,0.0024149033157881165
1793,20,Oaxaca,470,Santiago Lachiguiri,9438,7615962,0.0012392393764569729
1794,20,Oaxaca,15,Coatecas Altas,9427,7615962,0.0012377950415193774
1795,21,Puebla,55,Chila,9403,11567088,0.0008129098697960973
1796,31,Yucatán,9,Cansahcab,9399,3916927,0.002399585185018766
1797,26,Sonora,38,Moctezuma,9372,5346581,0.0017528959161004015
1798,20,Oaxaca,434,Santa María Teopoxco,9333,7615962,0.0012254525429617428
1799,30,Veracruz de Ignacio de la Llave,176,Tlacojalpan,9295,15332413,0.0006062320392752269
1800,28,Tamaulipas,8,Casas,9274,6556450,0.0014144849728130314
1801,32,Zacatecas,21,Jiménez del Teul,9271,2991119,0.0030995089128851108
1802,32,Zacatecas,33,Moyahua de Estrada,9216,2991119,0.003081121145631451
1803,21,Puebla,215,Zongozotla,9208,11567088,0.000796051694255287
1804,21,Puebla,88,Jonotla,9200,11567088,0.0007953600767972026
1805,21,Puebla,62,Epatlán,9197,11567088,0.0007951007202504208
1806,31,Yucatán,62,Sacalum,9193,3916927,0.002346992936043996
1807,20,Oaxaca,516,Santo Domingo Teojomulco,9192,7615962,0.0012069387951252908
1808,21,Puebla,113,Piaxtla,9180,11567088,0.0007936310331519913
1809,7,Chiapas,118,San Andrés Duraznal,9103,9645256,0.0009437800303071271
1810,10,Durango,3,Coneto de Comonfort,9100,3281041,0.0027735099927126785
1811,20,Oaxaca,202,San Juan Lachao,9099,7615962,0.0011947275997438013
1812,20,Oaxaca,367,Santa Catarina Mechoacán,9086,7615962,0.0011930206584539157
1813,31,Yucatán,23,Chocholá,9079,3916927,0.0023178884875822295
1814,8,Chihuahua,44,Matamoros,9067,6847912,0.0013240532296559886
1815,20,Oaxaca,384,Santa Cruz Xitla,9033,7615962,0.001186061590118228
1816,28,Tamaulipas,14,Guerrero,9021,6556450,0.0013758970174408407
1817,30,Veracruz de Ignacio de la Llave,113,Naranjal,9014,15332413,0.000587904852289069
1818,14,Jalisco,104,Totatiche,8975,14729215,0.0006093332197269169
1819,20,Oaxaca,459,Santiago Chazumba,8962,7615962,0.0011767390646119295
