,entidad,nom_ent,mun,nom_mun,p_total,pob_edo,prop_pob_mun
1818,20,Oaxaca,421,Santa María Mixtequilla,8497,7026438,0.0012092898279327307
1819,14,Jalisco,38,Guachinango,8488,13532532,0.0006272292576141701
1820,21,Puebla,159,Teopantlán,8469,10774602,0.0007860151122055367
1821,20,Oaxaca,459,Santiago Chazumba,8432,7026438,0.0012000390525042702
1822,20,Oaxaca,366,Santa Catarina Loxicha,8383,7026438,0.001193065391027431
1823,20,Oaxaca,539,Soledad Etla,8383,7026438,0.001193065391027431
1824,20,Oaxaca,213,San Juan Quiahije,8354,7026438,0.001188938121990118
1825,14,Jalisco,12,Atenguillo,8330,13532532,0.000615553689435207
1826,19,Nuevo León,51,Villaldama,8324,8412172,0.0009895185214948054
1827,20,Oaxaca,330,San Pedro Teutila,8294,7026438,0.0011803989446715392
1828,29,Tlaxcala,60,Santa Isabel Xiloxoxtla,8236,2139699,0.0038491395285037756
1829,21,Puebla,162,Tepango de Rodríguez,8236,10774602,0.0007643901835074743
1830,21,Puebla,113,Piaxtla,8205,10774602,0.0007615130470712514
1831,30,Veracruz de Ignacio de la Llave,106,Miahuatlán,8166,14264380,0.000572474934066535
1832,20,Oaxaca,95,San Andrés Paxtlán,8147,7026438,0.0011594779602410211
1833,20,Oaxaca,29,Eloxochitlán de Flores Magón,8101,7026438,0.0011529312576301107
1834,31,Yucatán,22,Chikindzonot,8098,3643791,0.002222410670644941
1835,20,Oaxaca,424,Santa María Ozolotepec,8081,7026438,0.0011500848651905845
1836,29,Tlaxcala,11,Muñoz de Domingo Arenas,8052,2139699,0.0037631461247586693
1837,14,Jalisco,117,Cañadas de Obregón,8045,13532532,0.0005944933291123938
1838,20,Oaxaca,462,Santiago Huajolotitlán,8035,7026438,0.001143538162579674
1839,20,Oaxaca,516,Santo Domingo Teojomulco,8031,7026438,0.0011429688840917688
1840,8,Chihuahua,61,Satevó,8000,6519870,0.0012270183301200791
1841,20,Oaxaca,153,San Gabriel Mixtepec,7961,7026438,0.001133006510553427
1842,20,Oaxaca,126,San Cristóbal Amatlán,7956,7026438,0.0011322949124435455
1843,20,Oaxaca,37,Mesones Hidalgo,7943,7026438,0.0011304447573578533
1844,8,Chihuahua,39,López,7932,6519870,0.0012165886743140584
1845,20,Oaxaca,306,San Pedro el Alto,7927,7026438,0.0011281676434062324
1846,20,Oaxaca,202,San Juan Lachao,7927,7026438,0.0011281676434062324
1847,21,Puebla,206,Zacapala,7914,10774602,0.0007345050889118688
